# Phenotype covariates (metadata) for BXD phenotype data
# nrow 5806
# ncol 2
id,description
11824,Central nervous system; peripheral nervous system; behavior; nociception: Pain response; thermal nociception; tail withdrawal latency for males and females [sec]
11825,Central nervous system; peripheral nervous system; skin; behavior: Somatosensory response; mechanical sensitivity using Von Frey test; threshold for males and females [force in mg]
11826,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 90-105 min after injection in an activity chamber for males and females [n beam breaks]
11827,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 105-120 min after injection in an activity chamber for males and females [n beam breaks]
11828,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 120-135 min after injection in an activity chamber for males and females [n beam breaks]
11829,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 0-15 min after injection in an activity chamber for males and females [n beam breaks]
11830,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 150-165 min after injection in an activity chamber for males and females [n beam breaks]
11831,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 165-180 min after injection in an activity chamber for males and females [n beam breaks]
11832,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 15-30 min after injection in an activity chamber for males and females [n beam breaks]
11833,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 30-45 min after injection in an activity chamber for males and females [n beam breaks]
11834,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 45-60 min after injection in an activity chamber for males and females [n beam breaks]
11835,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 60-75 min after injection in an activity chamber for males and females [n beam breaks]
11836,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 75-90 min after injection in an activity chamber for males and females [n beam breaks]
11837,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 90-105 min after injection in an activity chamber for males and females [cm]
11838,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 105-120 min after injection in an activity chamber for males and females [cm]
11839,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 120-135 min after injection in an activity chamber for males and females [cm]
11840,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 0-15 min after injection in an activity chamber for males and females [cm]
11841,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 150-165 min after injections in an activity chamber for males and females [cm]
11842,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 165-180 min after injection in an activity chamber for males and females [cm]
11843,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 15-30 min after injection in an activity chamber for males and females [cm]
11844,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 30-45 min after injection in an activity chamber for males and females [cm]
11845,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 45-60 min after injection in an activity chamber for males and females [cm]
11846,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 60-75 min after injection in an activity chamber for males and females [cm]
11847,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion (open field) from 75-90 min after injection in an activity chamber for males and females [cm]
11848,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); severity of abdominal contraction for males and females [ordinal scale; 0=no effect; 3=max]
11849,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); defecation in an activity chamber for males and females [n fecal boli]
11850,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); number of jumps for males and females [n/15 min test]
11851,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 0-180 min (total activity over 3 hour test) after injection in an activity chamber for males and females [n beam breaks]
11852,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); locomotion from 0-180 min (total activity over 3 hour test) after injection in an activity chamber for males and females [cm]
11853,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); change in locomotion for males and females (last 15 min of morphine test (165-180 min) minus first 15 min after naloxone) [cm difference]
11854,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 0-180 min (total activity over 3 hour test) after injection in an activity chamber for males and females [n beam breaks]
11855,Central nervous system; behavior: Novel open field behavior; locomotion in the periphery from 0-15 min for males and females in the morphine test battery [n beam breaks]
11856,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 15-30 min for males and females in the morphine test battery [n beam breaks]
11857,Central nervous system; behavior; neuropharmacology: Novel open field behavior; locomotion in the periphery from 30-45 min for males and females in the morphine test battery [n beam breaks]
11858,Central nervous system; behavior: Novel open field behavior; locomotion in the periphery from 45-60 min for males and females in the morphine test battery [n beam breaks]
11859,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 0-15 min for males and females in the morphine test battery [cm]
11860,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion locomotion in the periphery from 15-30 for males and females in the morphine test battery [cm]
11861,Central nervous system; behavior; neuropharmacology: Novel open field behavior; locomotion in the periphery from 30-45 min for males and females in the morphine test battery [cm]
11862,Central nervous system; behavior: Novel open field behavior; locomotion in the periphery from 45-60 min for males and females in the morphine test battery [cm]
11863,Central nervous system; behavior: Novel open field behavior;vertical activity (rears) from 0-15 min for males and females [n beam breaks]
11864,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 15-30 min for males and females [n beam breaks]
11865,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from min 30-45 for males and females [n beam breaks]
11866,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 45-60 min for males and females [n beam breaks]
11867,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 0-60 min for males and females [n beam breaks]
11868,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the center from 0-60 min for males and females [cm]
11869,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) in the center from 0-60 min for males and females [n beam breaks]
11870,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); locomotion from 0-15 min after naloxone injection for males and females [n beam breaks]
11871,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); horizontal activity (distance traveled) from 0-15 min after naloxone injection for males and females [cm]
11872,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); vertical activity (rears) from 0-15 min after naloxone injection for males and females [n beam breaks]
11873,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); postural changes for males and females [ordinal scale; 0=no effect; 3=max]
11874,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); ptosis for males and females [ordinal scale; 0=no effect; 3=max]
11875,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); salivation for males and females [ordinal scale; 0=control level; 3=max]
11876,Central nervous system; pharmacology; behavior: Naloxone-induced morphine withdrawal; naloxone (30 mg/kg ip) after morphine (50 mg/kg dose ip); wet dog shakes for males [ordinal scale; 0=no effect; 3=max]
11877,Central nervous system; behavior: Novel open field behavior; urinations for males and females [n/test period]
11878,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 90-105 min after injection in an activity chamber for males and females [n beam breaks]
11879,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 105-120 min after injection in an activity chamber for males and females [n beam breaks]
11880,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 120-135 min after injection in an activity chamber for males and females [n beam breaks]
11881,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 0-15 min after injection in an activity chamber for males and females [n beam breaks]
11882,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 150-165 min after injection in an activity chamber for males and females [n beam breaks]
11883,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 165-180 min after injection in an activity chamber for males and females [n beam breaks]
11884,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 15-30 min after injection in an activity chamber for males and females [n beam breaks]
11885,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 30-45 min after injection in an activity chamber for males and females [n beam breaks]
11886,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 45-60 min after injection in an activity chamber for males and females [n beam breaks]
11887,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 60-75 min after injection in an activity chamber for males and females [n beam breaks]
11888,Central nervous system; pharmacology; behavior: Morphine response (50 mg/kg ip); vertical activity (rears) from 75-90 min after injection in an activity chamber for males and females [n beam breaks]
11889,Central nervous system; pharmacology; behavior: 3;4-methylenedioxymethamphetamine (MDMA; Ecstasy) response (10 mg/kg subcutaneous); locomotion on day 2 for males and females [cm/90 min test]
11890,Central nervous system; behavior: Locomotor activity after first saline injection (day 1) for males and females (MDMA control) [cm/ test period]
11891,Central nervous system; behavior: Saline control response; locomotor activity after second injection for males and females (control for MDMA response experiment) [cm/test period]
11892,Central nervous system; pharmacology; behavior: Ethanol response (4.0 g/kg ip); handling-induced convulsion (HIC) 4 hrs after injection for males and females [ordinal scale]
11893,Central nervous system; behavior; pharmacology: Ethanol response (4.0 g/kg i.p.); handling-induced convulsions (HIC) 6 hrs after injections for males and females [units]
11894,Central nervous system; pharmacology; behavior: Ethanol response (4.0 g/kg ip); handling-induced convulsion (HIC) score 7 hrs after ethanol injection for males and females [ordinal scale]
11895,Central nervous system; behavior: Seizure susceptibility; handling-induced convulsion (HIC) baseline for males and females (0=no effect; 1=facial grimace during tail spin; 2=tonic convulsion during spin; 3=tonic-clonic convulsion during spin; 4= tonic convulsion on lift only; 5=tonic-clonic on lift only) [score]
11896,Central nervous system; pharmacology; behavior: Ethanol response (4.0 g/kg ip); handling-induced convulsion (HIC) after injection for males and females [ordinal scale]
11897,Central nervous system; peripheral nervous system; behavior; nociception: Pain response; thermal nociception; hot plate latency for males and females [sec]
11898,Central nervous system; behavior: Locomotion in dark compartment of a light-dark box for males and females [cm]
11899,Central nervous system; behavior: Anxiety assay; time in dark side of a light-dark box for males and females [sec]
11900,Central nervous system; behavior: Locomotion in both compartments of a light-dark box for males and females [cm]
11901,Central nervous system; behavior: Anxiety assay; locomotion in the light compartment of a light-dark box for males and females [cm]
11902,Central nervous system; behavior: Anxiety assay; time in light side of a light-dark box for males and females [sec]
11903,Central nervous system; behavior: Anxiety assay; percentage of locomotion in light side of a light-dark box for males and females [%]
11904,Central nervous system; behavior: Anxiety assay; percentage time in light side of a light-dark box for males and females [%]
11905,Central nervous system; behavior: Anxiety assay; transitions between light and dark sides of a light-dark box for males and females [n]
11906,Central nervous system; behavior; learning and memory: Fear conditioning response; activity in altered context for males and females [units]
11907,Central nervous system; behavior: Fear conditioning response; baseline activity in apparatus for males and females [units]
11908,Central nervous system; behavior: Fear conditioning response; contextual activity for males and females [units]
11909,Central nervous system; behavior; learning and memory: Fear conditioning response; activity in altered context during presentation of cue for males and females [units]
11910,Central nervous system; behavior; learning and memory: Fear conditioning response; suppression of activity in altered context for males and females [units]
11911,Central nervous system; behavior: Fear conditioning response; activity during first tone-shock pairing for males and females [units]
11912,Central nervous system; behavior: Fear conditioning response; activity during second tone-shock pairing for males and females [units]
11913,Central nervous system; behavior: Fear conditioning response; activity during third tone-shock pairing for males and females [units]
11914,Central nervous system; behavior; learning and memory: Fear conditioning response; activity after first tone-shock pairing for males and females [n beam breaks/30 sec test]
11915,Central nervous system; behavior: Fear conditioning response; activity after second tone-shock pairing for males and females [n beam breaks/30 sec test] 
11916,Central nervous system; behavior: Fear conditioning response; activity after third tone-shock pairing for males and females [n beam breaks/30 sec test] 
11917,Central nervous system; behavior; learning and memory: Fear conditioning response; cue conditioning; activity suppression after third tone-shock pairing for males and females [units]
11918,Central nervous system; behavior: Open field behavior; percentage of distance in the center for males and females [%]
11919,Central nervous system; behavior: Open field behavior; percentage of time in center for males and females [%]
11920,Central nervous system; behavior: Open field behavior; time in corners for males and females [min]
11921,Central nervous system; behavior: Open field behavior; locomotion from 0-5 min for males and females [cm]
11922,Central nervous system; behavior: Open field behavior; locomotion from 10-15 min for males and females [cm]
11923,Central nervous system; behavior: Open field behavior; locomotion from 15-20 min for males and females [cm]
11924,Central nervous system; behavior: Open field behavior; locomotion from 5-10 min for males and females [cm]
11925,Central nervous system; behavior: Open field activity; habituation ratio for males and females (ratio of activity during last 5 min interval and first 5 min interval) [ratio n beam breaks]
11926,Central nervous system; behavior: Open field behavior; percentage of time in perimeter minus time in corners for males and females [%]
11927,Central nervous system; behavior: Open field behavior; vertical activity (rears) from 0-20 min for males and females [n beam breaks]
11928,Central nervous system; behavior: Open field behavior; vertical activity (rears) from 0-5 min for males and females [n beam breaks]
11929,Central nervous system; behavior: Open field behavior; vertical activity (rears) from 10-15 min for males and females [n beam breaks]
11930,Central nervous system; behavior: Open field behavior; vertical activity (rears) from 15-20 min for males and females [n beam breaks]
11931,Central nervous system; behavior: Open field behavior; vertical activity (rears) from 5-10 min for males and females [n beam breaks]
11932,Central nervous system; behavior: Open field behavior; locomotion for entire test period for males and females [cm]
11933,Central nervous system; behavior: Open field behavior; percentage of distance in the perimeter for males and females [%]
11934,Central nervous system; behavior: Open field behavior; percentage of time in perimeter for males and females [%]
11935,Central nervous system; behavior: Startle response; baseline level for males and females [amplitude]
11936,Central nervous system; behavior: Acoustic startle response; maximum response at 120 db for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; prepulse PPI control data by M Cook; UMemphis) [force]
11937,Central nervous system; behavior: Acoustic startle response; maximum response at 70 db for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; prepulse PPI control data by M Cook; UMemphis) [force]
11938,Central nervous system; behavior: Acoustic startle response; maximum response at 80 db for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; prepulse PPI control data by M Cook; UMemphis) [force]
11939,Central nervous system; behavior: Acoustic startle response; maximum response at 85 db for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; prepulse PPI control data by M Cook; UMemphis) [force]
11940,Central nervous system; behavior: Acoustic startle response; prepulse inhibition (PPI) at 70 dB for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; data by M Cook; UMemphis) [% inhibition]
11941,Central nervous system; behavior: Acoustic startle response; prepulse inhibition (PPI) at 80 dB for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; data by M Cook; UMemphis) [% inhibition]
11942,Central nervous system; behavior: Acoustic startle response; prepulse inhibition (PPI) at 85 dB for males and females (65 dB background noise; Hamilton-Kinder SM100 startle chamber; 10 msec interval; 120 dB startle stimulus; data by M Cook; UMemphis) [% inhibition]
11946,Central nervous system; behavior: Depression assay; immobility using a tail suspension test (TST) for males and females [sec below threshold movement level]
11947,Central nervous system; behavior: Locomotion in zero maze for males and females [n beam breaks]
11948,Central nervous system; behavior: Anxiety assay; entries in closed quadrants of a zero maze for males and females [n]
11949,Central nervous system; behavior: Anxiety assay; entries into open quadrants of a zero maze for males and females [n]
11950,Central nervous system; behavior: Anxiety assay; latency to enter an open quadrant of a zero maze for males and females [sec]
11951,Central nervous system; behavior: Anxiety assay; percentage time in open quadrants of a zero maze for males and females [%]
11952,Central nervous system; behavior: Anxiety assay; time in closed quadrants of a zero maze for males and females [sec]
11953,Central nervous system; behavior: Anxiety assay; time in open quadrants of a zero maze for males and females [sec]
11954,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity after injection from 0-5 min for males and females [cm]
11955,Central nervous system; behavior: Saline control response (10 ml/kg ip); locomotor activity after injection from 0-5 min for males and females [cm]
11956,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity after injection from 5-10 min for males and females [cm]
11957,Central nervous system; behavior: Saline control response (10 ml/kg ip); locomotor activity after injection from 5-10 min after injection for males and females [cm]
11958,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity after injection from 10-15 min for males and females [cm]
11959,Central nervous system; behavior: Saline control response (10 ml/kg ip); locomotor activity after injection from 10-15 min for males and females [cm]
11960,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity after injection from 15-20 min for males and females [cm]
11961,Central nervous system; behavior: Saline control response (10 ml/kg ip); locomotion from 15-20 min after injection for males and females [cm]  
11962,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity; difference in distance traveled (saline minus ethanol) from 0-20 min for males and females [cm]
11963,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity after injection from 0-20 min for males and females [cm]
11964,Central nervous system; behavior: Saline control response (10 ml/kg ip); locomotion 0-20 min after injection for males and females [cm]
11965,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity; difference in distance traveled (saline minus ethanol) from 0-5 min for males and females [cm]
11966,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); locomotor activity; difference in distance traveled (saline minus ethanol) between the first 5 min and last 5 min for males and females [cm]
11967,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); blood ethanol concentration (BEC) for males and females [mg/dl XX min after injection]
11968,Central nervous system; behavior: Anxiety assay; untreated baseline; entries into closed arms of a plus maze for males and females [n]
11969,Central nervous system; behavior: Anxiety assay; untreated baseline; entries into open arms of a plus maze for males and females [n]
11970,Central nervous system; behavior: Anxiety assay; untreated baseline; percentage of entries into closed arms of a plus maze for males and females [%]
11971,Central nervous system; behavior: Anxiety assay; untreated baseline; percent entries into open arms of an elevated plus maze for males and females [%]
11972,Central nervous system; behavior: Anxiety assay; untreated baseline; percent time in closed arms of a plus maze for males and females [%]
11973,Central nervous system; behavior: Anxiety assay; untreated baseline; percentage of time in open arms of plus maze for males and females [%]
11974,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); motor coordination effects; difference in time on rotarod between training session and ethanol for males females [sec]
11975,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); duration on rotarod following injection for males and females [sec]
11976,Central nervous system; pharmacology; behavior: Ethanol response (2.25 g/kg ip); time on rotarod after saline minus time on rotarod after ethanol for males and females [sec]
11977,Central nervous system; behavior: Saline control response (10 ml/kg ip); motor coordination; rotarod performance following injection for males and females [sec]
11978,Central nervous system; behavior: Saline control response (dose ip); motor coordination effects; difference in time on rotarod between training session and saline for males and females [sec]
11979,Central nervous system; behavior: Motor coordination; rotarod performance; untreated training trial for males and females [sec]
11980,Central nervous system; behavior: Anxiety assay; time in closed arms of an elevated plus maze for males and females [sec]
11981,Central nervous system; behavior: Anxiety assay; time in middle of an elevated plus maze for males and females [sec]
11982,Central nervous system; behavior: Anxiety assay; time in open arms of an elevated plus maze for males and females [sec]
11983,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 0-15 min after first injection in an activity chamber for males and females [n beam breaks]
11984,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 15-30 min after first injection in an activity chamber for males and females [n beam breaks]
11985,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 30-45 min after first injection in an activity chamber for males and females [n beam breaks]
11986,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 45-60 min after first injection in an activity chamber for males and females [n beam breaks]
11987,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 0-15 min after first injection in an activity chamber for males and females [cm]
11988,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 15-30 min after first injection in an activity chamber for males and females [cm]
11989,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 30-45 min after first injection in an activity chamber for males and females [cm]
11990,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 45-60 min after first injection in an activity chamber for males and females [cm]
11991,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); vertical activity (rears) in an open field 0-15 min after injection for males and females [n beam breaks]
11992,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); vertical activity (rears) in an open field 15-30 min after injection for males and females [n beam breaks]
11993,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); vertical activity (rears) in an open field 30-45 min after injection for males and females [n beam breaks]
11994,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); vertical activity (rears) in an open field 45-60 min after injection for males and females [n beam breaks]
11995,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion from 0-15 min after second injection in an activity chamber for males and females [n beam breaks]
11996,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion from 15-30 min after second injection in an activity chamber for males and females [n beam breaks]
11997,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion from 30-45 min after second injection in an activity chamber for males and females [n beam breaks]
11998,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion from 45-60 min after second injection in an activity chamber for males and females [n beam breaks]
11999,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion in an open field from 0-15 min after second injection in an activity chamber for males and females [cm]
12000,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion in an open field from 15-30 min after second injection in an activity chamber for males and females [cm]
12001,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion in an open field from 30-45 min after second injection in an activity chamber for males and females [cm]
12002,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); locomotion in an open field from 45-60 min after second injection in an activity chamber for males and females [cm]
12003,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); vertical activity (rears) from 15-30 min after second injection in an activity chamber for males and females [n beam breaks]
12004,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); vertical activity (rears) from 15-30 min after second injection in an activity chamber for males and females [n beam breaks]
12005,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); vertical activity (rears) from 30-45 min after second injection in an activity chamber for males and females [n beam breaks]
12006,Central nervous system; pharmacology; behavior: Cocaine response (2 x 10 mg/kg ip); vertical activity (rears) from 45-60 min after second injection in an activity chamber for males and females [n beam breaks]
12007,Central nervous system; pharmacology; behavior; learning and memory: Conditioned place preference (CPP) baseline control for cocaine CPP test; time in drug-paired compartment for males and females [sec]
12008,Central nervous system; pharmacology; behavior; learning and memory: Conditioned place preference (CPP) baseline control for cocaine CPP test; time spent in saline-paired unconditioned side before conditioning for males and females [sec]
12009,Central nervous system; pharmacology; behavior; learning and memory: Cocaine response (3 x 3.2 mg/kg ip; days 2; 3; 4); conditioned place preference (CPP); time in drug-paired compartment on day 5 for males and females [sec]
12010,Central nervous system; pharmacology; behavior; learning and memory: Cocaine response (3 x 3.2 mg/kg ip; days 2; 3; 4); conditioned place preference (CPP); time in unconditioned saline-paired compartment on day 5 for males and females [sec]
12011,Central nervous system; pharmacology; behavior; learning and memory: Conditioned place preference (CPP) baseline control for cocaine CPP test; percentage of time spent in conditioned side before conditioning for males and females [%]
12012,Central nervous system; pharmacology; behavior; learning and memory: Cocaine response (3 x 3.2 mg/kg ip; days 2; 3; and 4); conditioned place preference (CPP); change in time in cocaine-paired compartment relative to baseline (day 5 minus day 1) for males and females [sec]
12013,Central nervous system; pharmacology; behavior; learning and memory: Cocaine response (3 x 3.2 mg/kg ip; days 2; 3; and 4); conditioned place preference (CPP); change in percentage time in cocaine-paired compartment relative to baseline (day 5 minus day 1) for males and females [% change]
12014,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 0-60 min for males and females [n beam breaks]
12015,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 0-60 min for males and females [cm]
12016,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 0-60 min in the center for males and females [n beam breaks]
12017,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion from 0-60 min after first cocaine injection in an activity chamber for males and females [n beam breaks]
12018,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); locomotion in an open field from 0-60 min after first cocaine injection for males and females [cm]
12019,Central nervous system; pharmacology; behavior: Cocaine response (10 mg/kg ip); vertical activity (rears) in the open field from 0-60 min after first cocaine injection for males and females [n beam breaks] 
12020,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 0-15 min for males and females [n beam breaks]
12021,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 15-30 min for males and females [n beam breaks]
12022,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 30-45 min for males and females [n beam breaks]
12023,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 45-60 min for males and females [n beam breaks]
12024,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 0-15 min for males and females [cm]
12025,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 15-30 min for males and females [cm]
12026,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 30-45 min for males and females [cm]
12027,Central nervous system; behavior: Novel open field behavior; locomotion in the center from 45-60 min for males and females [cm]
12028,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 0-15 min in the center for males and females [n beam breaks]
12029,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 15-30 min in the center for males and females [n beam breaks]
12030,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 30-45 min in the center for males and females [n beam breaks]
12031,Central nervous system; behavior: Novel open field behavior; vertical activity (rears) from 45-60 min in the center for males and females [n beam breaks]
12032,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 0-15 min for males and females in the cocaine test battery [n beam breaks]
12033,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 15-30 min for males and females in the cocaine test battery [n beam breaks]
12034,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 30-45 min for males and females in the cocaine test battery [n beam breaks]
12035,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion in the periphery from 45-60 min for males and females in the cocaine test battery [n beam breaks]
12036,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion from 0-15 min in the periphery for males and females in the cocaine test battery [cm]
12037,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion from 15-30 min in the periphery for males and females in the cocaine test battery [cm]
12038,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion from 30-45 min in the periphery for males and females in the cocaine test battery [cm]
12039,Central nervous system; pharmacology; behavior: Novel open field behavior; locomotion from 45-60 min in the periphery for males and females in the cocaine test battery [cm]
