# Physical map (mm10) for Recla et al. (2019) DO data (https://doi.org/10.1097/j.pain.0000000000001571)
# nrow 74906
# ncol 3
marker,chr,Mbp_mm10
UNC10903383,6,37.722412
JAX00229115,6,37.739076
UNC10903647,6,37.750362
UNC10903891,6,37.778422
JAX00607476,6,37.830561
UNC10904343,6,37.831034
UNC10904549,6,37.870031
UNC10904749,6,37.919165
UNC10905629,6,38.012919
JAX00607492,6,38.022366
UNC10905864,6,38.026365
UNC10907299,6,38.125987
UNC10908306,6,38.185474
JAX00139929,6,38.227353
UNC10909095,6,38.243182
JAX00607561,6,38.265625
UNC10909861,6,38.322613
UNC10910782,6,38.39797
UNC10911276,6,38.465877
UNC10911846,6,38.550308
UNC10913050,6,38.669579
UNC10913700,6,38.737974
UNC060074269,6,38.771706
UNC10914395,6,38.807008
UNC10915129,6,38.899355
UNC10915737,6,38.942634
JAX00139986,6,38.972378
UNC10916653,6,39.019622
JAX00229152,6,39.034681
UNC10917495,6,39.078827
backupJAX00607701,6,39.16708
JAX00140003,6,39.212854
JAX00607711,6,39.26939
UNC10919681,6,39.272336
UNC10920601,6,39.35584
UNC10921060,6,39.418683
UNC10921994,6,39.487979
JAX00607772,6,39.523292
UNC10923091,6,39.575406
JAX00607791,6,39.621533
UNC10923805,6,39.641837
UNC10924341,6,39.692388
JAX00607805,6,39.755835
UNC10926067,6,39.829161
UNC10926850,6,39.884896
JAX00607855,6,39.935069
UNC10927726,6,39.967806
UNC10928564,6,40.033665
B6_rs30314218,6,40.079338
UNC10929527,6,40.10071
JAX00140072,6,40.129976
JAX00607870,6,40.148397
UNC10930685,6,40.218733
UNC10931458,6,40.309621
JAX00607896,6,40.374526
UNC10932079,6,40.376507
UNC060074456,6,40.38091
JAX00140094,6,40.409858
UNC10933004,6,40.46005
UNC10933737,6,40.510486
UNC10934366,6,40.571594
JAX00229196,6,40.636058
UNC10935151,6,40.64003
UNC10935669,6,40.715805
JAX00140118,6,40.728117
UNC10936206,6,40.798163
JAX00607945,6,40.820034
JAX00607946,6,40.824613
JAX00607960,6,40.935947
JAX00607965,6,40.949924
UNC10938023,6,41.003123
UNC10940063,6,41.125309
UNC10940788,6,41.179235
UNC10942121,6,41.258241
UNC060953020,6,41.267352
UNC10942929,6,41.331154
JAX00608040,6,41.518085
UNC10944747,6,41.534723
JAX00608052,6,41.537944
UNC10945292,6,41.574324
JAX00140185,6,41.648959
UNC10946046,6,41.671006
JAX00608071,6,41.68403
UNC10946941,6,41.737839
UNC10947490,6,41.800401
JAX00608095,6,41.851235
UNC10948293,6,41.864426
UNC10949469,6,41.942314
UNC10950332,6,42.008746
UNC10951129,6,42.078947
UNC10951624,6,42.142692
JAX00140228,6,42.249618
backupJAX00140229,6,42.25186
UNC10952798,6,42.284402
JAX00140235,6,42.331031
UNC10953678,6,42.351413
UNC10954454,6,42.422779
UNC10955174,6,42.48456
JAX00608184,6,42.525698
UNC10956077,6,42.540082
UNC10957425,6,42.628144
JAX00608191,6,42.631255
UNC10958388,6,42.693395
UNC10959399,6,42.756384
JAX00140268,6,42.781577
UNC10961299,6,42.906032
UNC10962004,6,42.989979
UNC10962543,6,43.052969
JAX00608261,6,43.134884
JAX00608265,6,43.17853
UNC10964601,6,43.188652
UNC10965387,6,43.23851
JAX00608276,6,43.276643
UNC10966484,6,43.307937
backupJAX00608304,6,43.391758
UNC10968218,6,43.428577
JAX00608351,6,43.620166
UNC10970895,6,43.642733
UNC10972082,6,43.716636
UNC10972781,6,43.778797
UNC10973164,6,43.827916
JAX00608383,6,43.873959
UNC10974037,6,43.894603
UNC10975235,6,43.995978
JAX00140364,6,44.067379
UNC10976578,6,44.075999
JAX00140367,6,44.105371
UNC10977070,6,44.126049
JAX00140375,6,44.19664
UNC060075887,6,44.237209
UNC10979142,6,44.286253
UNC10979769,6,44.325937
UNC10980847,6,44.399162
UNC10981840,6,44.469975
UNC060076905,6,44.517649
UNC10982579,6,44.536848
UNC10983614,6,44.618606
JAX00608489,6,44.65373
UNC10984388,6,44.670559
UNC10985107,6,44.720841
JAX00608505,6,44.738165
UNC10986613,6,44.800426
JAX00608512,6,44.824424
UNC10987273,6,44.871259
JAX00608518,6,44.891753
JAX00608522,6,44.903228
JAX00608524,6,44.948744
UNC10988924,6,44.965774
JAX00608528,6,44.980079
UNC10989835,6,45.016649
UNC060077905,6,45.078153
UNC10990857,6,45.079446
JAX00608547,6,45.081968
UNC10992143,6,45.164913
UNC10992492,6,45.193547
UNC10994038,6,45.284424
UNC10994961,6,45.353423
UNC10995658,6,45.394112
UNC10997626,6,45.53755
UNC10999277,6,45.64661
UNC10999677,6,45.66182
UNC11001033,6,45.752205
UNC11002125,6,45.829562
JAX00608667,6,45.859291
UNC11003675,6,45.917523
UNC11004688,6,45.964632
UNC11005309,6,46.021117
JAX00608691,6,46.03482
UNC11005614,6,46.049714
UNC11006703,6,46.114261
UNC11007004,6,46.139136
UNC11007480,6,46.173984
UNC11007845,6,46.201938
UNC11008761,6,46.262709
UNC11008929,6,46.282653
UNC11009419,6,46.326478
UNC11010607,6,46.400307
UNC11010900,6,46.417834
UNC060078157,6,46.443659
UNC11011297,6,46.459426
UNC11012078,6,46.506528
UNC11012492,6,46.537194
UNC11012931,6,46.584944
UNC11013469,6,46.635676
JAX00608780,6,46.636198
JAX00608786,6,46.654434
UNC11014087,6,46.671838
UNC11014318,6,46.699174
UNC11014503,6,46.714281
JAX00608797,6,46.726403
UNC11015271,6,46.764628
UNC11015841,6,46.798196
UNC11016167,6,46.841762
UNC11016417,6,46.877122
UNC11016661,6,46.903823
UNC11017435,6,46.962248
UNC11017734,6,46.98908
JAX00608851,6,46.997806
UNC11018236,6,47.028063
UNC11018460,6,47.043407
JAX00140589,6,47.049726
backupUNC060370616,6,47.102308
UNC11019616,6,47.117039
UNC11019772,6,47.172483
UNC11020085,6,47.195813
UNC060371051,6,47.223004
JAX00608900,6,47.249868
UNC11021010,6,47.250833
UNC11021279,6,47.268889
JAX00140605,6,47.28865
UNC11021891,6,47.319144
UNC11022614,6,47.370098
UNC11023062,6,47.394542
JAX00608940,6,47.423731
UNC11023614,6,47.43139
UNC11024383,6,47.542576
backupUNC060371815,6,47.566371
UNC11024841,6,47.588361
UNC11025149,6,47.624278
UNC11025236,6,47.640957
JAX00608976,6,47.785232
UNC11025393,6,47.802994
UNC11025705,6,47.836281
UNC11026066,6,47.87158
UNC11026497,6,47.907577
UNC060372237,6,47.916159
UNC11026962,6,47.947937
UNC11027368,6,47.98292
UNC11027742,6,48.018048
UNC11028150,6,48.056064
UNC11028423,6,48.092896
JAX00609031,6,48.09576
UNC11028920,6,48.129726
UNC11029462,6,48.183391
UNC11029764,6,48.19796
UNC060476921,6,48.215023
JAX00609042,6,48.215322
UNC11030343,6,48.244598
UNC11030573,6,48.276599
UNC11030758,6,48.295658
UNC11030936,6,48.35554
UNC11031375,6,48.398248
JAX00609080,6,48.414746
UNC11031850,6,48.430204
UNC11032265,6,48.476519
UNC11032500,6,48.499581
UNC11032921,6,48.529653
UNC11033352,6,48.554433
JAX00140696,6,48.596516
UNC11034544,6,48.637256
UNC11035065,6,48.683487
JAX00140702,6,48.696241
UNC11035576,6,48.719133
JAX00609189,6,48.73667
UNC11036101,6,48.760045
UNC11036445,6,48.792149
UNC11036858,6,48.830515
UNC11037282,6,48.863951
UNC11037741,6,48.903238
UNC11037920,6,48.921901
JAX00140721,6,48.934112
UNC11038632,6,48.981271
JAX00140723,6,48.98303
UNC11039340,6,49.032589
UNC11039892,6,49.087927
UNC11040079,6,49.110366
UNC11040695,6,49.15921
UNC11041170,6,49.205237
UNC11041661,6,49.25887
UNC11042521,6,49.313805
UNC11043717,6,49.387679
backupUNC060375772,6,49.483023
JAX00609337,6,49.504493
JAX00609407,6,49.739578
JAX00609417,6,49.770642
UNC060079088,6,49.82407
JAX00609488,6,49.99281
UNC060080140,6,50.192115
UNC11058438,6,50.393626
JAX00609614,6,50.416979
UNC11060356,6,50.505975
UNC11060586,6,50.524261
UNC11061488,6,50.568418
UNC11061688,6,50.593849
UNC11061849,6,50.607438
JAX00609652,6,50.638279
UNC11062097,6,50.640582
UNC11062621,6,50.676698
UNC11063030,6,50.700098
JAX00609684,6,50.705099
UNC11064095,6,50.759217
UNC11064496,6,50.78293
backupJAX00609712,6,50.789658
UNC11064819,6,50.805892
UNC11065526,6,50.846998
UNC11065810,6,50.866487
UNC11066440,6,50.901778
UNC11067013,6,50.93214
UNC11067301,6,50.947375
JAX00140872,6,50.957399
UNC11067910,6,50.987818
UNC11068342,6,51.013856
UNC11068814,6,51.042504
UNC11069007,6,51.055094
UNC11069289,6,51.083074
UNC060083393,6,51.08626
JAX00140883,6,51.106982
UNC11069810,6,51.120362
UNC11069991,6,51.133469
UNC11070534,6,51.171935
UNC11070742,6,51.191371
UNC11071247,6,51.224461
JAX00609844,6,51.246667
UNC11071651,6,51.259112
JAX00609850,6,51.273476
UNC11072755,6,51.310669
UNC11073109,6,51.3303
UNC11073699,6,51.366616
UNC11074001,6,51.38653
JAX00609889,6,51.421437
UNC11074561,6,51.42196
UNC11074779,6,51.437109
UNC11075213,6,51.478323
JAX00609895,6,51.479538
UNC11075940,6,51.516576
UNC11076206,6,51.534539
UNC11076550,6,51.557443
JAX00609914,6,51.579658
JAX00609917,6,51.582854
UNC11077939,6,51.654172
JAX00609933,6,51.672874
UNC11078268,6,51.673814
UNC11078517,6,51.693429
JAX00609950,6,51.735737
UNC11079213,6,51.752747
UNC11079532,6,51.781144
UNC060084208,6,51.795789
UNC11079796,6,51.796723
UNC11080128,6,51.824512
JAX00609981,6,51.84544
UNC11080704,6,51.865051
JAX00609992,6,51.883332
UNC11080950,6,51.89012
UNC11081180,6,51.914222
UNC11081652,6,51.94748
UNC11081897,6,51.974341
UNC11082159,6,51.993963
UNC11082579,6,52.029949
UNC11083005,6,52.06214
UNC060377613,6,52.069075
JAX00140958,6,52.088057
UNC11083477,6,52.092735
JAX00189851,6,52.103616
UNC11083867,6,52.11917
UNC11084157,6,52.140989
UNC11084324,6,52.16971
UNC11084480,6,52.190394
UNC11084602,6,52.218656
UNC11084782,6,52.244279
UNC061033942,6,52.28942
UNC11085353,6,52.307707
UNC11085640,6,52.340309
UNC11086263,6,52.386646
UNC11086568,6,52.415764
UNC11087516,6,52.493793
UNC11088190,6,52.539778
UNC060377743,6,52.555447
JAX00140993,6,52.568866
UNC11088650,6,52.592197
UNC11089119,6,52.641893
UNC11090459,6,52.780261
UNC11091271,6,52.850285
UNC11091555,6,52.874311
UNC11092470,6,52.953423
UNC11093093,6,53.002625
UNC11093522,6,53.036945
UNC060302008,6,53.073174
UNC11094125,6,53.091421
JAX00229494,6,53.11335
UNC11095814,6,53.217883
JAX00610188,6,53.227945
UNC11096407,6,53.247078
UNC11097296,6,53.312863
JAX00610241,6,53.334167
UNC11098227,6,53.35876
UNC11098876,6,53.412337
JAX00610264,6,53.437267
JAX00610265,6,53.438018
UNC11099278,6,53.441255
UNC060481245,6,53.444163
UNC11099824,6,53.499249
UNC060085692,6,53.554722
JAX00141068,6,53.570621
UNC11100952,6,53.576196
UNC11101519,6,53.625089
JAX00610365,6,53.651707
UNC11101937,6,53.660571
UNC11102451,6,53.701776
UNC11103043,6,53.750577
JAX00610397,6,53.783597
UNC11103897,6,53.804468
UNC11104725,6,53.867157
UNC11105445,6,53.918669
UNC11106211,6,53.959209
backupUNC060378852,6,54.025851
UNC11107710,6,54.043946
backupUNC060481335,6,54.057349
JAX00610496,6,54.067743
JAX00610501,6,54.081169
UNC11108920,6,54.127406
UNC11109409,6,54.158335
UNC11110543,6,54.223199
UNC11111537,6,54.283189
UNC11112540,6,54.335834
JAX00610591,6,54.365502
UNC11113482,6,54.383857
JAX00610603,6,54.41518
JAX00610607,6,54.437184
UNC11114667,6,54.445035
UNC11115423,6,54.49408
JAX00610619,6,54.501512
UNC11116309,6,54.534766
UNC060088553,6,54.562898
UNC11117287,6,54.591568
UNC11117796,6,54.645959
UNC060088598,6,54.679138
UNC060302281,6,54.688422
UNC11119163,6,54.743842
UNC061712858,6,54.792963
UNC11119915,6,54.797276
UNC11120788,6,54.902913
JAX00141172,6,54.961309
UNC11121897,6,54.998546
UNC11122474,6,55.040125
UNC11123637,6,55.109046
UNC11124460,6,55.165974
UNC11124841,6,55.204181
JAX00610770,6,55.259123
UNC11125724,6,55.266092
JAX00610794,6,55.314053
UNC11126324,6,55.317381
UNC11126953,6,55.369967
UNC11127691,6,55.424734
UNC11128370,6,55.47014
UNC11128971,6,55.505748
UNC11130070,6,55.574703
UNC11130806,6,55.623704
UNC11131247,6,55.653047
UNC11131802,6,55.702171
UNC11132752,6,55.772114
JAX00141236,6,55.809647
UNC11133467,6,55.826991
JAX00610904,6,55.852569
UNC11134555,6,55.891142
UNC11135451,6,55.943475
JAX00610936,6,55.953789
UNC11136024,6,55.981929
UNC11136587,6,56.016776
UNC11137553,6,56.079518
UNC060379499,6,56.109337
UNC11138429,6,56.12789
UNC11139193,6,56.173726
JAX00611000,6,56.347313
UNC060098697,6,56.376974
UNC11142730,6,56.431225
UNC11144399,6,56.52556
UNC11146472,6,56.634914
JAX00141312,6,56.825777
UNC11149651,6,56.851134
UNC061064189,6,56.907624
JAX00141319,6,56.917153
UNC11150827,6,56.951519
UNC11151315,6,57.042434
UNC060379578,6,57.216157
JAX00611138,6,57.232934
UNC11153623,6,57.26236
UNC11154870,6,57.361181
UNC11156088,6,57.48684
UNC11156858,6,57.555909
backupJAX00141372,6,57.626563
UNC11158057,6,57.643152
UNC060108668,6,57.726858
UNC11160029,6,57.780504
JAX00141386,6,57.812303
UNC11160844,6,57.836597
UNC11162570,6,57.981991
JAX00611235,6,57.985524
UNC11164373,6,58.20116
UNC11164825,6,58.270497
UNC11165469,6,58.376219
UNC11167061,6,58.508187
UNC11167342,6,58.561177
UNC11168792,6,58.734315
JAX00141462,6,58.804744
backupUNC061075925,6,58.863736
JAX00611326,6,58.894242
UNC11170179,6,58.894536
UNC11171688,6,59.027757
UNC11172956,6,59.133651
UNC11174372,6,59.236952
UNC11175253,6,59.33586
backupJAX00611376,6,59.424023
JAX00611384,6,59.523017
backuprs6294371,6,59.549949
UNC11178601,6,59.609118
UNC11179436,6,59.742322
UNC11179719,6,59.84811
UNC11181919,6,60.255804
UNC11184335,6,60.378094
UNC060110666,6,60.534753
UNC11188169,6,60.587574
B6_rs30915467,6,60.59142
UNC11190088,6,60.705056
JAX00611531,6,60.802875
backupUNC061106525,6,60.883918
UNC11193855,6,60.961571
UNC11196144,6,61.114173
UNC11197368,6,61.209997
JAX00141636,6,61.231807
UNC11198411,6,61.278491
JAX00611608,6,61.432963
backupUNC060111684,6,61.463834
UNC11200613,6,61.465515
UNC11200703,6,61.484656
UNC11202858,6,61.672173
UNC11203467,6,61.712087
backupUNC060112033,6,61.759882
JAX00611653,6,61.822802
UNC11205160,6,61.840487
JAX00611660,6,61.861491
UNC11207401,6,61.978432
UNC11208143,6,62.025537
UNC11209534,6,62.126614
UNC060113568,6,62.191049
JAX00611707,6,62.191783
UNC11211992,6,62.291633
JAX00611718,6,62.292679
UNC11212820,6,62.349934
UNC11214736,6,62.485628
JAX00141733,6,62.530116
JAX00611742,6,62.54457
UNC11217267,6,62.673982
UNC11217681,6,62.716326
UNC11219408,6,62.871751
UNC11220448,6,62.974345
UNC11222046,6,63.096532
UNC11223858,6,63.287281
UNC060114123,6,63.337499
backupUNC060114271,6,63.378126
UNC11225314,6,63.391486
UNC11227030,6,63.510372
JAX00229668,6,63.590365
UNC11228392,6,63.593075
UNC11230238,6,63.71118
JAX00611862,6,63.757325
UNC11231107,6,63.762854
JAX00141828,6,63.83198
JAX00611883,6,63.834706
UNC11233394,6,63.926534
UNC11234485,6,64.014843
JAX00141841,6,64.02299
JAX00141846,6,64.077629
UNC11235479,6,64.103565
UNC11237105,6,64.222388
UNC11238167,6,64.310632
UNC11239415,6,64.431761
UNC11241025,6,64.544202
JAX00612006,6,64.599407
JAX00612014,6,64.619188
UNC11242349,6,64.642906
JAX00141889,6,64.650739
JAX00612027,6,64.672915
UNC11243385,6,64.739912
UNC11244679,6,64.847912
JAX00612071,6,64.954599
JAX00229695,6,64.955018
UNC11246067,6,64.960896
UNC11247194,6,65.041553
backupJAX00141922,6,65.107801
JAX00612094,6,65.112008
UNC11247837,6,65.137312
JAX00141933,6,65.253891
UNC11249217,6,65.268721
JAX00612125,6,65.273483
UNC11249988,6,65.332687
UNC11253272,6,65.675284
backupUNC061144372,6,65.736517
UNC11254824,6,65.780253
UNC11256500,6,65.894419
UNC11257747,6,65.991344
UNC11258971,6,66.09247
UNC11260427,6,66.207171
backupJAX00612283,6,66.272832
UNC11262405,6,66.41751
UNC11263328,6,66.508418
backupJAX00612315,6,66.533629
UNC11264327,6,66.610954
UNC11266695,6,66.814384
JAX00612370,6,66.879523
UNC061713233,6,66.924378
JAX00142060,6,66.930816
UNC11268860,6,67.021485
UNC11270305,6,67.13376
JAX00142081,6,67.197269
UNC11271986,6,67.24074
UNC11272939,6,67.321115
JAX00612477,6,67.336732
JAX00612491,6,67.430926
UNC11274880,6,67.442904
UNC11276279,6,67.545651
UNC11278005,6,67.694655
UNC061716948,6,67.761496
UNC11279476,6,67.799978
UNC11280438,6,67.885914
JAX00612578,6,67.932944
UNC11281797,6,67.962852
JAX00142141,6,68.009033
UNC11282631,6,68.015563
JAX00142147,6,68.089901
UNC11284920,6,68.184316
UNC060116182,6,68.381406
JAX00142171,6,68.420503
UNC061169856,6,68.50655
UNC11292873,6,68.524707
UNC11293303,6,68.54432
JAX00612717,6,68.546176
UNC11295764,6,68.654549
UNC11299146,6,68.797163
JAX00142208,6,68.889517
UNC11301386,6,68.890759
UNC11303160,6,68.966785
UNC11304276,6,69.079977
UNC060116289,6,69.285708
UNC11305535,6,69.321452
UNC11307169,6,69.445105
UNC11307867,6,69.516177
backupUNC060495541,6,69.639581
UNC11308809,6,69.650411
JAX00612858,6,69.887614
JAX00612870,6,69.920798
UNC11313837,6,69.923656
UNC060500922,6,70.02303
UNC11318667,6,70.155044
UNC11319736,6,70.23054
UNC060116405,6,70.294068
UNC11320208,6,70.37371
UNC11320497,6,70.436791
UNC11322483,6,70.67884
UNC11323404,6,70.744405
UNC11324068,6,70.788886
UNC060508303,6,70.790556
JAX00612993,6,70.805519
JAX00613002,6,70.825748
UNC11325357,6,70.862488
UNC11325997,6,70.897995
UNC11326341,6,70.920498
UNC11327021,6,70.963816
UNC11327606,6,70.999326
UNC11328293,6,71.031421
JAX00613061,6,71.034288
JAX00142363,6,71.064812
UNC11329078,6,71.093039
UNC11329884,6,71.134235
UNC11330289,6,71.160197
UNC11330917,6,71.1909
UNC11331554,6,71.226727
UNC11332327,6,71.27086
UNC11332572,6,71.300459
UNC11332816,6,71.331218
JAX00613162,6,71.358901
UNC11333319,6,71.37369
JAX00613182,6,71.425798
JAX00613183,6,71.426172
UNC11333819,6,71.441521
JAX00142395,6,71.446842
UNC11334199,6,71.475199
UNC11334704,6,71.519987
UNC11335078,6,71.545862
JAX00142403,6,71.575675
UNC11335290,6,71.576084
JAX00613222,6,71.592185
UNC11335538,6,71.610934
UNC11335715,6,71.644666
UNC11336483,6,71.687099
JAX00613246,6,71.696207
UNC11336716,6,71.706868
JAX00613253,6,71.733214
UNC11337574,6,71.755167
UNC11338075,6,71.789122
UNC11338462,6,71.812658
JAX00613284,6,71.832884
UNC11338738,6,71.845679
UNC11339027,6,71.875647
UNC11339332,6,71.918023
UNC11339896,6,71.962447
UNC11340251,6,71.980984
backupUNC060517806,6,71.993807
UNC11340746,6,72.0198
UNC11341381,6,72.067557
UNC11341782,6,72.100517
UNC11342115,6,72.123126
UNC11342612,6,72.157091
UNC11343128,6,72.186895
UNC11343417,6,72.210502
UNC11344169,6,72.269151
JAX00142456,6,72.278945
UNC11344435,6,72.281814
JAX00142458,6,72.299546
UNC11345243,6,72.325636
UNC11345560,6,72.361174
UNC11346026,6,72.39691
UNC11346425,6,72.418607
JAX00613449,6,72.428111
UNC11346863,6,72.457074
JAX00613462,6,72.477687
UNC11347527,6,72.494542
JAX00613471,6,72.513088
UNC11348248,6,72.541563
UNC11348738,6,72.569149
backupUNC060640434,6,72.586683
JAX00613506,6,72.60909
UNC11349701,6,72.635895
UNC11350547,6,72.704353
UNC11350970,6,72.734955
UNC11351417,6,72.778985
UNC11351838,6,72.806929
UNC11352412,6,72.83927
JAX00613594,6,72.862231
UNC11352685,6,72.871856
UNC11352903,6,72.901851
backupUNC060523700,6,72.910486
UNC11353466,6,72.94013
UNC11353995,6,72.975608
UNC11354503,6,73.010129
UNC11354872,6,73.029146
JAX00613636,6,73.055231
UNC11355474,6,73.076013
UNC11355602,6,73.097175
JAX00613674,6,73.121282
UNC11356202,6,73.151309
UNC11356443,6,73.172906
UNC11357129,6,73.222852
UNC11357613,6,73.245419
UNC11357840,6,73.264739
JAX00613725,6,73.283033
UNC11358578,6,73.316701
UNC11359005,6,73.353376
UNC11359682,6,73.391185
UNC11360077,6,73.422998
JAX00142543,6,73.434019
UNC11360257,6,73.434264
UNC11360927,6,73.487059
UNC11361761,6,73.538592
UNC11362299,6,73.575812
JAX00613827,6,73.69442
UNC11364388,6,73.721396
UNC11364634,6,73.749437
JAX00613852,6,73.809663
UNC11365927,6,73.836586
JAX00613862,6,73.89323
UNC11367341,6,73.943268
UNC11369256,6,74.064397
UNC11370709,6,74.186099
backupUNC060526689,6,74.22353
JAX00142607,6,74.279085
UNC11372219,6,74.310279
UNC11375215,6,74.542256
backuprs30953439,6,74.745314
UNC11378497,6,74.759238
JAX00142647,6,74.813703
UNC11381057,6,74.952694
UNC11383554,6,75.117958
JAX00142669,6,75.126365
JAX00142673,6,75.17185
UNC11385756,6,75.266457
UNC060119828,6,75.324709
UNC11388309,6,75.394667
UNC061204836,6,75.488843
UNC11390107,6,75.528362
UNC11392649,6,75.670208
UNC11394858,6,75.778628
backupUNC060121771,6,75.815107
UNC11397984,6,75.969782
UNC11399687,6,76.066447
UNC11401441,6,76.144798
UNC11401562,6,76.155148
UNC060609207,6,76.169928
UNC11402286,6,76.186554
JAX00142748,6,76.191162
UNC11402869,6,76.211792
UNC11403547,6,76.2713
backupUNC060122218,6,76.286896
JAX00614322,6,76.297421
UNC11404230,6,76.301678
UNC11404780,6,76.336976
UNC11405255,6,76.363547
JAX00614343,6,76.370386
JAX00614346,6,76.397433
UNC11405975,6,76.401811
UNC11406459,6,76.439306
UNC11406827,6,76.463851
JAX00142769,6,76.491552
UNC11407110,6,76.492161
UNC11407327,6,76.507963
UNC11407726,6,76.542612
UNC11408294,6,76.569019
UNC11408898,6,76.611683
UNC11409424,6,76.643036
UNC11409724,6,76.674682
UNC11410017,6,76.7024
JAX00142788,6,76.718424
JAX00142792,6,76.802497
UNC11411346,6,76.808664
UNC11411860,6,76.838645
UNC11412301,6,76.880032
UNC11412630,6,76.91284
UNC11413015,6,76.940963
UNC11413520,6,76.970841
UNC11414001,6,77.003489
UNC11414354,6,77.036034
UNC11414591,6,77.059248
UNC11415256,6,77.101823
JAX00142815,6,77.106074
UNC11415630,6,77.121285
UNC060124657,6,77.121678
UNC11416349,6,77.154953
UNC11416718,6,77.182859
backupUNC060305762,6,77.206065
UNC11417253,6,77.212762
JAX00142824,6,77.217216
UNC11417562,6,77.244458
UNC11417971,6,77.278634
UNC11418209,6,77.302297
UNC11418531,6,77.330132
UNC11418737,6,77.350538
UNC11419291,6,77.391392
UNC11419776,6,77.424303
UNC11420301,6,77.455614
JAX00142842,6,77.463761
UNC11420731,6,77.478562
UNC11421125,6,77.500565
JAX00614565,6,77.521446
UNC11421853,6,77.535134
UNC11422371,6,77.56775
UNC11422862,6,77.598765
JAX00614586,6,77.630618
UNC11423460,6,77.63276
UNC11423929,6,77.662195
JAX00142858,6,77.689238
UNC11424419,6,77.693325
UNC11424772,6,77.720957
UNC11425355,6,77.752699
UNC11425703,6,77.782894
UNC11426242,6,77.810728
UNC11426701,6,77.839335
JAX00142871,6,77.849456
UNC11426874,6,77.85946
UNC11427712,6,77.908637
UNC11428201,6,77.940752
UNC11428473,6,77.96347
UNC11428642,6,77.981923
JAX00142881,6,77.987536
UNC11429465,6,78.025922
UNC11429833,6,78.051541
UNC11431336,6,78.137484
UNC11431828,6,78.177358
UNC11432711,6,78.231641
UNC11433448,6,78.276986
JAX00614756,6,78.313472
UNC11434660,6,78.332678
UNC11435777,6,78.425701
UNC11437255,6,78.534526
JAX00614789,6,78.537255
UNC11438151,6,78.586282
backupUNC060382045,6,78.594574
UNC11439549,6,78.673531
JAX00614836,6,78.733081
UNC11440897,6,78.740714
JAX00142940,6,78.771442
JAX00614840,6,78.771615
UNC11441540,6,78.772017
JAX00142945,6,78.83351
UNC11442729,6,78.854797
UNC11443435,6,78.906659
backupUNC060305985,6,78.917919
UNC11443880,6,78.967617
UNC11444299,6,79.020198
UNC11445912,6,79.141218
backupUNC060127034,6,79.143598
UNC11446769,6,79.211651
UNC11447463,6,79.260427
UNC11447958,6,79.324066
UNC11448442,6,79.359258
JAX00142988,6,79.399578
UNC11448570,6,79.414143
JAX00614924,6,79.452937
JAX00142992,6,79.457394
UNC11449280,6,79.490967
UNC11449828,6,79.558779
UNC11450621,6,79.606933
UNC11450891,6,79.643086
UNC11451867,6,79.724812
UNC060127971,6,79.75893
UNC11452313,6,79.768654
UNC11453119,6,79.817741
UNC11453733,6,79.883531
UNC11454175,6,79.940678
UNC060128154,6,80.03869
UNC11454904,6,80.045565
UNC11455635,6,80.102847
UNC11457054,6,80.225819
UNC11457839,6,80.281372
UNC11458794,6,80.353145
backupJAX00143061,6,80.372466
UNC11459239,6,80.386258
UNC11460071,6,80.439344
UNC11461002,6,80.502977
UNC11461982,6,80.568095
UNC11462629,6,80.609177
JAX00615154,6,80.678739
UNC11463879,6,80.681551
JAX00615164,6,80.721925
UNC11464537,6,80.727552
JAX00615181,6,80.797695
JAX00615187,6,80.804573
UNC11465979,6,80.815637
UNC11466512,6,80.84882
UNC11467281,6,80.915605
UNC060129026,6,80.929338
UNC11468340,6,80.992547
JAX00143109,6,81.023696
JAX00143111,6,81.048592
UNC11469828,6,81.090583
UNC11470537,6,81.13295
UNC11470998,6,81.165711
UNC11471943,6,81.232376
UNC11472987,6,81.315313
UNC11473457,6,81.363799
UNC11474388,6,81.425982
UNC11475080,6,81.484701
JAX00615368,6,81.493259
UNC060384712,6,81.495759
JAX00615389,6,81.577437
UNC11476394,6,81.593105
UNC11477296,6,81.654971
JAX00143160,6,81.672414
UNC11477977,6,81.713363
UNC11478679,6,81.75592
UNC11479717,6,81.812231
UNC060540859,6,81.846379
UNC11480424,6,81.877861
JAX00615510,6,81.882442
UNC11480849,6,81.919087
UNC11482526,6,81.993763
UNC11483349,6,82.049098
JAX00615601,6,82.067296
UNC11483890,6,82.081436
JAX00143192,6,82.096845
JAX00143197,6,82.157821
UNC11485335,6,82.170518
UNC11486400,6,82.231032
UNC11487129,6,82.274823
UNC11488504,6,82.380411
UNC11489345,6,82.436428
UNC060132871,6,82.528603
UNC11492522,6,82.609524
UNC060386300,6,82.676684
UNC11493715,6,82.69475
UNC11495088,6,82.779228
UNC11495739,6,82.818636
backupJAX00230053,6,82.899529
UNC11497244,6,82.91536
UNC11497618,6,82.941087
UNC11498802,6,83.031692
UNC11499148,6,83.066311
JAX00143269,6,83.120793
UNC11499865,6,83.138509
UNC11500109,6,83.17107
JAX00143277,6,83.20092
JAX00143278,6,83.240194
UNC060133816,6,83.241423
UNC11501004,6,83.24149
JAX00615989,6,83.263178
JAX00615992,6,83.286248
UNC11502019,6,83.304804
UNC11502391,6,83.353692
JAX00143285,6,83.353892
JAX00143290,6,83.414351
JAX00143291,6,83.414671
